Malus_Prunus	Peach_Cherry	Pavium_Pfruticosa	SubA_Pavium	subA___Pfruticosa	subB_Pavium
95.00	15.47	11.56	8.85	4.46	1.62
95.00	15.00	10.99	8.32	4.48	1.71
95.00	15.28	11.41	8.68	4.49	1.89
95.00	15.19	11.38	8.77	4.66	1.76
95.00	15.57	11.48	8.57	4.73	1.84
95.00	15.14	11.28	8.52	4.65	1.66
95.00	15.22	11.06	8.62	4.36	1.77
95.00	14.92	11.02	8.54	4.23	1.61
95.00	15.21	11.16	8.64	4.62	1.69
95.00	15.57	11.54	8.92	4.45	1.78
95.00	15.62	11.44	8.71	4.45	1.92
95.00	15.29	10.92	8.50	4.38	1.62
95.00	15.25	11.44	8.88	4.33	1.74
95.00	15.04	11.54	8.98	4.44	1.65
95.00	15.38	11.46	8.65	4.79	1.66
95.00	14.96	11.15	8.56	4.50	1.64
95.00	15.29	11.49	8.86	4.55	1.68
95.00	15.63	11.64	8.82	4.86	1.78
95.00	15.53	11.22	8.79	4.53	1.76
95.00	15.50	11.60	9.04	4.59	1.86
95.00	14.68	10.94	8.54	4.33	1.73
95.00	14.92	11.22	8.60	4.43	1.62
95.00	15.33	11.36	8.81	4.68	1.73
95.00	15.70	11.37	8.85	4.56	1.71
95.00	15.20	11.12	8.68	4.49	1.71
95.00	15.22	11.06	8.46	4.45	1.72
95.00	14.82	10.88	8.65	4.30	1.86
95.00	14.95	10.89	8.44	4.16	1.60
95.00	15.28	11.36	8.73	4.67	1.61
95.00	15.34	11.36	8.69	4.64	1.83
95.00	14.74	11.19	8.33	4.61	1.65
95.00	15.52	11.61	9.09	4.38	1.81
95.00	15.28	11.06	8.31	4.57	1.73
95.00	15.54	11.32	8.84	4.60	1.87
95.00	15.31	11.10	8.82	4.42	1.73
95.00	15.48	11.45	8.63	4.43	1.75
95.00	15.92	11.41	8.83	4.81	1.75
95.00	15.45	11.19	8.47	4.43	1.63
95.00	15.32	11.31	8.67	4.51	1.71
95.00	15.61	11.38	8.60	4.58	1.76
95.00	15.40	11.59	8.90	4.62	1.77
95.00	15.40	11.36	8.49	4.34	1.59
95.00	15.37	11.35	9.20	4.62	1.81
95.00	15.51	10.99	8.54	4.45	1.60
95.00	15.58	11.74	8.93	4.59	1.70
95.00	15.35	11.28	8.51	4.33	1.84
95.00	15.17	11.25	8.57	4.52	1.86
95.00	15.11	11.19	8.64	4.60	1.86
95.00	14.99	11.28	8.55	4.59	1.82
95.00	15.31	11.27	8.64	4.44	1.62
95.00	15.35	11.34	8.75	4.41	1.78
95.00	15.41	11.21	8.49	4.67	1.68
95.00	15.19	11.24	8.74	4.46	1.72
95.00	15.49	11.61	8.82	4.75	1.85
95.00	15.34	11.51	8.72	4.78	1.74
95.00	14.88	11.08	8.96	4.38	1.81
95.00	15.23	11.11	8.59	4.26	1.67
95.00	15.08	11.07	8.67	4.52	1.74
95.00	15.46	11.65	9.10	4.71	1.79
95.00	14.79	10.99	8.58	4.44	1.80
95.00	15.32	11.35	8.73	4.52	1.79
95.00	15.36	11.13	8.38	4.56	1.59
95.00	15.17	11.44	8.77	4.71	1.81
95.00	15.49	11.54	8.69	4.68	1.91
95.00	15.00	11.11	8.44	4.58	1.68
95.00	15.34	11.46	8.83	4.56	1.86
95.00	15.15	11.25	8.88	4.45	1.85
95.00	15.08	11.38	8.64	4.41	1.51
95.00	15.32	11.37	8.88	4.60	1.87
95.00	15.40	11.72	8.88	4.62	1.85
95.00	15.22	11.34	8.70	4.56	1.74
95.00	15.00	11.20	8.63	4.45	1.88
95.00	15.16	11.12	8.74	4.48	1.79
95.00	15.00	11.05	8.76	4.31	1.74
95.00	15.20	11.14	8.51	4.36	1.81
95.00	15.13	11.04	8.24	4.51	1.54
95.00	15.45	11.34	8.70	4.44	1.68
95.00	15.13	11.07	8.50	4.35	1.76
95.00	15.58	11.08	8.72	4.54	1.83
95.00	15.60	11.49	8.69	4.67	1.47
95.00	15.27	11.19	8.87	4.39	1.77
95.00	15.20	11.38	8.67	4.56	1.76
95.00	15.24	11.23	8.63	4.48	1.76
95.00	15.69	11.01	8.33	4.48	1.74
95.00	14.88	11.23	8.74	4.66	1.42
95.00	15.71	11.20	8.56	4.48	1.66
95.00	15.28	11.00	8.60	4.48	1.64
95.00	15.26	11.12	8.35	4.44	1.68
95.00	15.42	11.46	8.92	4.44	1.68
95.00	15.77	11.79	9.25	4.67	1.78
95.00	15.03	11.13	8.61	4.48	1.68
95.00	15.00	11.32	8.71	4.45	1.77
95.00	15.13	11.09	8.81	4.55	1.61
95.00	15.15	11.21	8.69	4.42	1.66
95.00	15.16	11.24	8.62	4.68	1.77
95.00	15.39	11.40	8.99	4.64	1.73
95.00	15.10	11.48	8.53	4.45	1.50
95.00	15.52	11.35	8.64	4.68	1.70
95.00	14.68	11.19	8.73	4.36	1.65
95.00	14.87	11.16	8.58	4.58	1.69
95.00	15.56	11.71	9.14	4.82	1.80
95.00	15.37	11.41	8.98	4.51	1.68
95.00	15.59	11.56	8.96	4.54	1.74
95.00	15.35	11.57	9.06	4.55	1.68
95.00	15.68	11.60	8.75	4.72	1.83
95.00	15.21	11.07	8.20	4.15	1.69
95.00	15.38	11.47	8.70	4.29	1.80
95.00	15.34	11.31	8.61	4.19	1.70
95.00	15.31	11.53	8.83	4.58	1.90
95.00	15.31	11.25	8.69	4.39	1.49
95.00	14.83	10.94	8.54	4.49	1.72
95.00	14.69	11.00	8.43	4.47	1.57
95.00	15.14	11.08	8.39	4.56	1.64
95.00	15.02	11.17	8.50	4.57	1.70
95.00	14.79	10.95	8.64	4.19	1.79
95.00	15.35	11.64	8.94	4.71	1.82
95.00	15.33	11.22	8.78	4.38	1.62
95.00	15.33	11.76	8.96	4.64	1.62
95.00	15.41	11.42	8.71	4.51	1.65
95.00	14.95	11.32	8.61	4.57	1.67
95.00	14.82	10.91	8.41	4.28	1.51
95.00	15.05	10.87	8.45	4.39	1.66
95.00	15.58	11.41	8.65	4.40	1.65
95.00	15.20	11.11	8.79	4.05	1.74
95.00	15.23	11.22	8.84	4.28	1.54
95.00	15.24	11.34	8.76	4.35	1.59
95.00	15.54	11.56	8.88	4.62	1.77
95.00	15.00	11.22	8.55	4.60	1.71
95.00	15.36	11.48	8.67	4.66	1.59
95.00	15.33	11.25	8.96	4.43	1.80
95.00	15.63	11.32	8.86	4.73	1.68
95.00	15.21	11.26	8.74	4.53	1.52
95.00	15.58	11.45	8.50	4.55	1.73
95.00	15.45	11.36	8.68	4.59	1.85
95.00	14.98	11.14	8.58	4.50	1.69
95.00	15.11	11.19	8.83	4.31	1.74
95.00	15.28	11.37	8.55	4.56	1.73
95.00	15.52	11.63	9.03	4.53	1.63
95.00	15.12	11.62	9.06	4.62	1.78
95.00	15.43	11.34	8.56	4.68	1.71
95.00	15.29	11.60	8.84	4.66	1.67
95.00	15.96	11.84	9.08	4.67	1.78
95.00	14.93	11.33	8.59	4.61	1.68
95.00	15.07	11.30	8.70	4.61	1.82
95.00	15.16	11.38	8.75	4.59	1.62
95.00	15.22	11.61	8.94	4.55	1.75
95.00	14.83	11.15	8.65	4.47	1.76
95.00	15.32	11.71	9.01	4.54	1.69
95.00	15.29	11.19	8.55	4.48	1.78
95.00	15.24	11.22	8.67	4.43	1.73
95.00	15.16	11.39	8.68	4.32	1.70
95.00	15.57	11.28	8.81	4.38	1.73
95.00	15.08	11.14	8.81	4.39	1.74
95.00	15.33	11.37	8.72	4.39	1.79
95.00	15.06	11.18	8.52	4.26	1.53
95.00	15.18	11.25	8.62	4.50	1.77
95.00	15.30	11.32	8.83	4.38	1.68
95.00	15.23	11.05	8.58	4.54	1.78
95.00	14.82	11.26	8.59	4.57	1.65
95.00	15.18	11.35	8.51	4.52	1.70
95.00	15.02	11.08	8.41	4.40	1.69
95.00	15.61	11.24	8.57	4.64	1.68
95.00	15.38	11.13	8.76	4.39	1.71
95.00	15.68	11.82	9.02	4.60	1.77
95.00	15.38	11.61	9.13	4.55	1.72
95.00	14.87	11.26	8.69	4.46	1.75
95.00	15.58	11.42	8.76	4.65	1.77
95.00	15.19	11.03	8.36	4.14	1.75
95.00	15.67	11.67	8.93	4.70	1.75
95.00	15.00	11.20	8.45	4.38	1.58
95.00	14.68	11.01	8.46	4.48	1.69
95.00	15.65	11.48	8.63	4.58	1.72
95.00	15.63	11.33	8.83	4.42	1.79
95.00	15.04	10.92	8.48	4.61	1.75
95.00	15.16	11.09	8.75	4.17	1.60
95.00	15.15	11.44	8.34	4.48	1.57
95.00	14.78	11.20	8.83	4.46	1.80
95.00	15.34	11.39	8.44	4.57	1.62
95.00	15.31	11.52	8.66	4.73	1.72
95.00	14.93	11.26	8.63	4.34	1.82
95.00	15.36	11.30	8.70	4.49	1.65
95.00	14.95	11.01	8.58	4.43	1.68
95.00	15.08	10.99	8.72	4.48	1.60
95.00	15.38	11.56	8.79	4.64	1.73
95.00	15.04	11.00	8.30	4.45	1.70
95.00	15.19	11.35	8.68	4.54	1.71
95.00	15.57	11.52	8.81	4.36	1.82
95.00	15.36	11.53	8.97	4.39	1.72
95.00	15.38	11.45	8.93	4.41	1.71
95.00	15.35	11.28	8.91	4.52	1.65
95.00	15.45	11.37	8.79	4.48	1.64
95.00	15.21	11.43	8.52	4.69	1.81
95.00	15.15	11.35	8.71	4.54	1.68
95.00	15.24	11.33	8.69	4.54	1.74
95.00	14.90	11.04	8.48	4.29	1.58
95.00	14.91	10.98	8.34	4.21	1.74
95.00	15.22	11.03	8.66	4.32	1.74
95.00	14.68	11.03	8.40	4.44	1.59
95.00	15.06	11.52	8.90	4.65	1.85
95.00	15.06	11.61	9.00	4.61	1.76
95.00	15.32	11.29	8.57	4.48	1.69
95.00	15.53	11.51	8.82	4.49	1.66
95.00	15.24	11.17	8.63	4.59	1.59
95.00	14.77	10.99	8.57	4.28	1.55
95.00	15.41	11.24	8.53	4.37	1.51
95.00	15.78	11.85	8.94	4.77	1.78
95.00	15.77	11.31	8.91	4.45	1.75
95.00	15.26	11.19	8.53	4.43	1.67
95.00	15.43	11.41	8.78	4.51	1.70
95.00	15.25	11.20	8.80	4.35	1.84
95.00	15.23	11.34	8.72	4.61	1.63
95.00	15.14	11.33	8.55	4.71	1.72
95.00	15.64	11.47	8.87	4.58	1.73
95.00	15.22	11.38	8.82	4.30	1.83
95.00	15.11	11.40	8.57	4.53	1.86
95.00	14.75	10.95	8.56	4.46	1.86
95.00	15.22	11.45	8.81	4.60	1.69
95.00	14.64	10.89	8.26	4.19	1.67
95.00	15.35	11.25	8.49	4.63	1.65
95.00	14.93	10.82	8.21	4.31	1.70
95.00	14.98	11.23	8.74	4.36	1.52
95.00	15.21	11.15	8.83	4.41	1.72
95.00	15.13	11.52	8.86	4.46	1.69
95.00	14.92	11.36	8.57	4.64	1.57
95.00	15.21	11.19	8.78	4.39	1.69
95.00	14.98	11.06	8.49	4.63	1.58
95.00	15.08	11.04	8.50	4.41	1.65
95.00	15.31	11.27	8.25	4.69	1.70
95.00	15.48	11.30	8.59	4.75	1.75
95.00	15.31	11.35	8.78	4.60	1.60
95.00	15.07	11.17	8.87	4.56	1.80
95.00	15.17	11.29	8.73	4.50	1.91
95.00	15.20	11.28	8.88	4.50	1.73
95.00	14.93	11.26	8.55	4.34	1.67
95.00	15.52	11.46	8.89	4.57	1.80
95.00	15.65	11.86	9.18	4.61	1.81
95.00	15.11	11.20	8.73	4.40	1.83
95.00	14.98	11.29	8.68	4.51	1.67
95.00	15.45	11.24	8.72	4.42	1.56
95.00	15.21	11.33	8.62	4.61	1.96
95.00	14.64	11.13	8.59	4.49	1.67
95.00	15.36	11.43	8.86	4.76	1.63
95.00	15.39	11.53	8.82	4.67	1.65
95.00	15.57	11.40	8.56	4.69	1.68
95.00	14.88	11.08	8.42	4.38	1.63
95.00	15.43	11.45	8.81	4.53	1.81
95.00	15.02	11.24	8.51	4.48	1.70
95.00	14.93	11.09	8.39	4.50	1.67
95.00	15.37	11.49	9.03	4.73	1.89
95.00	15.34	11.69	8.88	4.57	1.76
95.00	15.08	11.55	9.11	4.61	1.82
95.00	15.57	11.30	8.64	4.46	1.74
95.00	15.16	11.05	8.70	4.35	1.73
95.00	15.35	11.17	8.51	4.65	1.54
95.00	15.54	11.74	9.13	4.57	1.74
95.00	14.90	11.13	8.56	4.43	1.73
95.00	15.34	11.07	8.79	4.29	1.64
95.00	15.47	11.16	8.60	4.59	1.85
95.00	14.93	11.10	8.67	4.54	1.54
95.00	14.99	11.14	8.54	4.33	1.77
95.00	14.77	11.11	8.36	4.43	1.59
95.00	15.35	11.14	8.44	4.44	1.69
95.00	15.53	11.54	8.96	4.51	1.80
95.00	15.43	11.35	8.93	4.55	1.67
95.00	15.49	11.54	8.94	4.39	1.56
95.00	15.18	10.85	8.23	4.32	1.85
95.00	15.14	11.07	8.74	4.36	1.73
95.00	15.10	11.20	8.56	4.36	1.66
95.00	14.99	11.24	8.89	4.46	1.77
95.00	15.66	11.56	9.06	4.51	1.67
95.00	14.70	10.89	8.42	4.22	1.66
95.00	15.56	11.16	8.51	4.48	1.80
95.00	15.26	11.41	8.77	4.61	1.80
95.00	15.46	11.61	8.62	4.69	1.67
95.00	15.68	11.47	8.59	4.65	1.65
95.00	15.35	11.24	8.69	4.49	1.76
95.00	15.26	11.22	8.73	4.39	1.67
95.00	15.05	11.09	8.67	4.53	1.82
95.00	15.16	11.20	8.70	4.45	1.62
95.00	14.99	11.04	8.81	4.48	1.76
95.00	15.23	11.13	8.65	4.50	1.78
95.00	15.17	11.22	8.76	4.37	1.73
95.00	15.03	11.15	8.53	4.44	1.72
95.00	15.20	11.16	8.58	4.40	1.81
95.00	15.17	11.07	8.62	4.44	1.84
95.00	15.41	11.43	8.64	4.48	1.82
95.00	15.31	11.14	8.63	4.23	1.74
95.00	14.79	11.14	8.36	4.42	1.52
95.00	15.25	11.14	8.73	4.38	1.81
95.00	15.53	11.11	8.62	4.45	1.66
95.00	15.23	11.36	8.72	4.37	1.67
95.00	15.36	11.15	8.76	4.63	1.76
95.00	15.43	11.53	8.72	4.51	1.78
95.00	15.18	11.13	8.54	4.50	1.66
95.00	15.28	11.35	8.70	4.60	1.67
95.00	15.37	11.52	8.79	4.73	1.73
95.00	15.36	10.96	8.62	4.37	1.68
95.00	14.81	10.83	8.41	4.34	1.65
95.00	15.36	11.36	8.75	4.33	1.82
95.00	15.25	11.17	8.96	4.74	1.69
95.00	15.35	11.55	8.96	4.37	1.82
95.00	15.13	11.42	8.28	4.57	1.67
95.00	15.18	11.07	8.60	4.38	1.80
95.00	15.42	11.20	8.81	4.60	1.75
95.00	15.48	11.57	8.56	4.61	1.68
95.00	15.22	11.39	8.49	4.75	1.69
95.00	14.99	11.14	8.69	4.37	1.74
95.00	15.25	11.25	8.60	4.36	1.57
95.00	15.18	11.38	8.97	4.60	1.82
95.00	15.06	11.24	8.77	4.43	1.76
95.00	15.35	11.11	8.34	4.45	1.78
95.00	15.31	11.53	8.79	4.68	1.84
95.00	15.58	11.45	8.63	4.52	1.80
95.00	15.88	11.64	9.10	4.69	1.67
95.00	15.15	11.33	8.74	4.63	1.58
95.00	15.28	11.19	8.63	4.25	1.74
95.00	14.76	10.97	8.35	4.34	1.69
95.00	15.66	11.57	8.88	4.66	1.78
95.00	15.05	11.35	8.69	4.63	1.84
95.00	15.10	11.27	8.50	4.58	1.71
95.00	15.67	11.65	8.95	4.74	1.74
95.00	14.99	11.20	8.70	4.43	1.67
95.00	15.11	11.07	8.67	4.32	1.70
95.00	15.26	11.32	8.67	4.61	1.73
95.00	15.06	11.12	8.45	4.45	1.72
95.00	15.07	11.20	8.68	4.39	1.78
95.00	15.18	11.23	8.65	4.38	1.67
95.00	15.14	11.27	8.80	4.39	1.82
95.00	15.01	11.29	8.70	4.61	1.76
95.00	15.24	11.03	8.43	4.39	1.71
95.00	15.59	11.74	9.01	4.73	1.98
95.00	15.03	11.27	8.60	4.51	1.72
95.00	15.11	11.06	8.44	4.43	1.61
95.00	15.05	11.33	8.56	4.60	1.89
95.00	15.45	11.59	8.89	4.51	1.78
95.00	15.26	11.31	9.00	4.51	1.77
95.00	15.07	11.32	8.84	4.29	1.89
95.00	15.54	11.32	8.78	4.55	1.73
95.00	15.33	11.34	8.51	4.54	1.78
95.00	15.02	11.43	8.64	4.69	1.64
95.00	15.19	11.33	8.60	4.36	1.80
95.00	15.23	11.25	8.72	4.54	1.60
95.00	14.69	11.12	8.57	4.42	1.85
