Malus_Prunus	Peach_Cherry	SubA___fruticosa	Pavium_Pfruticosa	SubA_Pfruticosa	SubB_Pavium
95.00	15.57	11.01	8.86	1.60	2.02
95.00	15.77	11.13	8.81	1.71	2.21
95.00	15.98	11.13	8.95	1.73	2.07
95.00	15.31	11.07	8.65	1.53	2.16
95.00	15.42	11.12	8.86	1.70	2.02
95.00	15.83	11.20	8.84	1.75	2.13
95.00	15.01	10.79	8.61	1.68	2.13
95.00	15.86	11.14	9.26	1.61	2.19
95.00	15.50	11.21	9.02	1.62	2.10
95.00	15.60	10.82	8.67	1.83	2.24
95.00	15.72	10.86	8.99	1.42	2.18
95.00	15.26	10.92	8.65	1.60	2.23
95.00	15.71	11.13	8.50	1.40	1.84
95.00	15.66	11.39	8.98	1.68	2.09
95.00	15.64	10.83	8.72	1.73	2.13
95.00	15.53	11.10	8.52	1.59	2.04
95.00	15.78	10.85	8.62	1.50	2.07
95.00	16.11	11.16	9.06	1.72	2.08
95.00	15.34	11.15	9.13	1.69	2.04
95.00	15.60	10.80	8.62	1.58	2.08
95.00	15.09	10.65	8.31	1.68	1.97
95.00	15.52	10.67	8.52	1.45	2.14
95.00	15.51	11.03	8.81	1.81	2.04
95.00	16.06	11.18	8.95	1.55	2.00
95.00	15.32	10.65	8.39	1.66	2.07
95.00	15.40	11.23	8.98	1.83	2.18
95.00	15.45	11.26	8.84	1.70	2.15
95.00	15.67	11.40	8.82	1.74	2.27
95.00	15.07	10.52	8.58	1.56	1.88
95.00	14.96	11.07	8.78	1.76	1.97
95.00	15.73	11.43	9.26	1.67	2.17
95.00	15.06	10.74	8.68	1.67	2.23
95.00	15.56	11.03	8.87	1.78	2.06
95.00	15.28	10.87	8.62	1.46	2.01
95.00	15.74	11.22	9.21	1.51	2.14
95.00	15.56	11.23	8.71	1.85	1.98
95.00	15.13	10.80	8.37	1.51	1.94
95.00	14.85	10.52	8.42	1.66	2.10
95.00	15.30	11.29	9.28	1.62	2.09
95.00	15.56	11.12	8.87	1.41	2.17
95.00	15.50	11.02	8.56	1.58	2.00
95.00	15.71	11.12	8.83	1.62	1.96
95.00	15.71	10.91	8.40	1.33	2.12
95.00	15.66	10.85	8.57	1.70	2.06
95.00	15.45	11.13	8.93	1.63	2.14
95.00	14.99	10.77	8.73	1.72	2.03
95.00	15.55	11.21	8.94	1.64	1.91
95.00	14.81	10.25	8.20	1.58	2.08
95.00	15.93	11.29	9.33	1.70	2.11
95.00	15.29	11.11	9.06	1.81	1.92
95.00	15.48	11.39	8.95	1.45	2.17
95.00	15.71	11.02	8.57	1.54	1.86
95.00	15.55	11.37	8.93	1.64	2.17
95.00	15.55	11.37	9.07	1.51	2.12
95.00	14.77	10.39	8.39	1.44	1.92
95.00	15.38	11.25	8.99	1.80	2.21
95.00	15.38	11.23	8.72	1.52	2.24
95.00	15.51	10.80	8.88	1.59	2.16
95.00	15.19	10.80	8.67	1.49	2.10
95.00	15.83	10.99	8.86	1.67	2.30
95.00	15.17	10.98	8.80	1.66	2.06
95.00	15.37	11.07	8.78	1.61	1.78
95.00	15.46	11.08	8.59	1.73	1.92
95.00	15.30	10.88	8.66	1.55	2.03
95.00	15.15	10.52	8.65	1.71	2.05
95.00	15.04	10.75	8.57	1.71	2.07
95.00	15.43	10.91	8.76	1.80	2.08
95.00	15.43	10.88	8.65	1.51	2.12
95.00	15.42	10.70	8.73	1.57	2.12
95.00	14.71	10.65	8.43	1.54	2.05
95.00	15.29	10.94	9.05	1.65	1.96
95.00	15.13	10.75	8.82	1.65	2.04
95.00	16.40	11.57	9.05	1.58	1.89
95.00	15.55	10.86	8.58	1.77	1.96
95.00	15.71	11.10	8.76	1.67	2.05
95.00	15.45	10.84	8.43	1.57	2.12
95.00	15.72	10.97	8.92	1.77	2.21
95.00	15.88	11.26	8.82	1.58	2.20
95.00	15.80	11.20	8.97	1.75	1.92
95.00	15.09	10.79	8.43	1.98	1.99
95.00	15.64	11.28	8.77	1.45	1.97
95.00	15.26	11.20	9.06	1.53	2.18
95.00	15.15	11.19	8.98	1.59	2.12
95.00	15.54	10.84	8.78	1.57	2.09
95.00	16.06	11.12	8.82	1.43	2.00
95.00	15.62	11.29	9.04	1.74	2.16
95.00	15.13	11.00	8.78	1.68	2.15
95.00	15.52	11.04	8.80	1.73	1.96
95.00	15.99	11.42	9.09	1.63	1.95
95.00	15.50	11.24	9.13	1.53	2.06
95.00	15.92	11.23	8.92	1.71	2.01
95.00	15.72	11.29	9.03	1.74	2.03
95.00	15.59	10.91	8.78	1.53	1.88
95.00	15.58	10.83	8.68	1.63	2.07
95.00	15.88	11.06	8.84	1.75	2.23
95.00	15.43	11.07	8.72	1.71	1.88
95.00	15.30	11.05	9.10	1.33	1.75
95.00	15.01	10.86	8.62	1.57	2.16
95.00	15.37	11.22	8.90	1.48	2.03
95.00	15.20	10.76	8.54	1.69	2.20
95.00	15.10	10.67	8.64	1.53	1.94
95.00	15.91	11.22	8.89	1.56	2.45
95.00	15.45	11.44	8.75	1.68	2.15
95.00	15.32	11.11	8.72	1.77	2.17
95.00	14.88	11.11	8.98	1.71	1.94
95.00	15.35	10.83	8.62	1.53	2.04
95.00	15.81	11.53	9.04	1.66	2.23
95.00	15.75	11.28	8.59	1.70	1.95
95.00	15.24	11.16	8.65	1.62	1.86
95.00	15.20	10.60	8.43	1.46	1.90
95.00	15.53	11.02	8.78	1.57	2.09
95.00	15.80	11.56	8.99	1.68	2.01
95.00	15.70	11.29	8.97	1.81	2.20
95.00	15.33	10.92	8.61	1.50	2.13
95.00	15.44	11.00	8.70	1.60	2.11
95.00	15.48	11.28	9.01	1.81	2.07
95.00	16.10	11.10	9.03	1.54	1.99
95.00	15.70	11.16	8.93	1.66	2.02
95.00	15.27	11.08	8.98	1.76	2.11
95.00	15.10	10.54	8.07	1.36	1.65
95.00	16.20	11.47	9.07	1.70	2.29
95.00	15.57	11.18	8.82	1.73	2.16
95.00	14.90	10.73	8.84	1.54	2.13
95.00	15.32	11.00	8.95	1.72	2.07
95.00	15.27	10.74	8.71	1.64	2.21
95.00	15.64	11.18	8.85	1.70	2.10
95.00	15.18	10.61	8.44	1.69	1.88
95.00	15.46	10.87	8.55	1.65	2.14
95.00	15.48	11.12	8.85	1.43	2.07
95.00	15.50	11.13	9.10	1.60	2.18
95.00	15.04	10.79	8.77	1.65	1.93
95.00	15.09	10.99	8.58	1.57	2.00
95.00	15.44	10.85	8.91	1.50	1.93
95.00	16.07	11.51	9.16	1.76	2.24
95.00	16.06	11.35	9.07	1.53	2.00
95.00	15.35	11.09	8.62	1.92	2.28
95.00	15.71	10.91	8.77	1.37	1.87
95.00	15.42	11.18	8.90	1.63	2.21
95.00	15.72	11.09	8.86	1.58	2.10
95.00	15.08	10.76	8.71	1.50	1.71
95.00	15.53	10.84	8.73	1.40	1.90
95.00	15.95	11.07	8.95	1.68	2.07
95.00	15.92	11.07	8.72	1.61	2.21
95.00	14.94	10.57	8.41	1.54	2.11
95.00	14.95	11.03	8.61	1.52	1.89
95.00	15.71	11.11	9.05	1.47	2.17
95.00	15.37	10.95	8.51	1.52	1.98
95.00	15.37	10.76	8.68	1.58	2.16
95.00	15.35	11.01	8.87	1.84	2.27
95.00	15.89	11.48	8.97	1.39	2.19
95.00	15.75	11.08	8.88	1.73	2.21
95.00	15.53	11.30	8.80	1.47	2.09
95.00	15.91	10.94	8.67	1.53	1.87
95.00	15.25	10.72	8.64	1.51	1.92
95.00	15.85	11.21	8.68	1.66	1.98
95.00	15.49	11.01	8.61	1.63	2.39
95.00	16.01	11.09	8.75	1.65	2.05
95.00	15.52	11.59	9.29	1.74	2.55
95.00	15.41	11.49	9.27	1.61	2.18
95.00	15.72	11.46	9.38	1.58	2.10
95.00	15.31	10.79	8.66	1.48	2.08
95.00	15.33	10.99	8.92	1.79	2.00
95.00	15.58	11.23	8.67	1.45	2.01
95.00	15.11	10.89	8.76	1.76	1.99
95.00	15.41	11.11	8.94	1.58	2.14
95.00	15.04	11.07	8.76	1.46	2.06
95.00	15.53	11.27	8.88	1.77	2.15
95.00	15.22	10.56	8.49	1.48	2.02
95.00	15.26	11.07	8.80	1.59	2.29
95.00	15.45	10.84	8.56	1.60	2.03
95.00	16.21	11.73	9.35	1.73	2.19
95.00	15.15	10.84	8.53	1.25	1.76
95.00	15.54	10.75	8.87	1.81	2.12
95.00	15.60	10.95	8.86	1.89	2.05
95.00	15.57	10.97	8.95	1.62	2.05
95.00	15.67	11.04	8.91	1.80	2.23
95.00	15.49	11.04	8.97	1.81	1.96
95.00	15.63	11.18	8.84	1.83	2.00
95.00	15.68	11.44	9.04	1.76	2.36
95.00	15.91	11.06	8.61	1.62	2.00
95.00	15.63	11.20	8.70	1.77	1.89
95.00	15.49	11.30	8.75	1.73	2.14
95.00	15.93	11.14	9.18	1.40	1.88
95.00	15.25	10.79	8.75	1.50	2.10
95.00	16.05	11.28	8.97	1.58	2.06
95.00	15.48	10.67	8.70	1.78	1.90
95.00	16.06	11.11	9.04	1.72	2.12
95.00	15.31	11.02	8.81	1.61	2.22
95.00	15.22	10.71	8.73	1.41	2.07
95.00	15.28	10.73	8.45	1.55	1.89
95.00	15.50	10.77	8.52	1.72	2.03
95.00	15.35	11.03	8.66	1.62	2.09
95.00	15.81	11.19	9.01	1.70	1.80
95.00	15.47	11.14	8.94	1.68	2.38
95.00	15.62	11.05	8.87	1.61	2.04
95.00	15.27	11.22	8.65	1.70	1.92
95.00	14.97	10.57	8.83	1.64	2.31
95.00	15.47	11.03	9.08	1.47	1.91
95.00	15.24	10.77	8.85	1.58	2.24
95.00	15.07	10.91	8.89	1.40	1.77
95.00	15.78	10.93	8.68	1.65	1.76
95.00	15.63	11.20	8.85	1.58	2.14
95.00	15.57	11.28	8.87	1.68	2.12
95.00	15.14	10.98	8.61	1.76	1.94
95.00	15.32	11.27	9.19	1.59	2.31
95.00	15.75	11.46	9.20	1.58	2.14
95.00	16.21	11.77	9.29	1.58	2.10
95.00	15.55	11.35	9.06	1.55	2.06
95.00	15.46	10.73	8.73	1.75	1.89
95.00	15.72	10.96	8.78	1.72	2.06
95.00	15.87	11.23	8.87	1.54	2.00
95.00	15.62	11.18	8.79	1.74	2.10
95.00	15.79	10.79	8.68	1.51	1.94
95.00	16.35	11.18	8.81	1.47	1.94
95.00	15.48	10.83	8.71	1.76	2.26
95.00	15.47	11.07	8.99	1.46	1.99
95.00	15.45	10.88	8.85	1.46	1.99
95.00	15.49	10.79	8.70	1.51	2.23
95.00	15.43	10.96	8.88	1.63	1.92
95.00	15.52	11.06	8.57	1.54	2.14
95.00	15.29	11.48	9.08	1.96	2.14
95.00	15.61	11.29	9.05	1.69	2.12
95.00	15.69	11.65	9.20	1.63	2.24
95.00	15.74	11.33	8.83	1.63	2.04
95.00	15.54	11.10	8.96	1.61	1.98
95.00	15.10	10.48	8.53	1.52	2.02
95.00	15.53	11.26	9.07	1.52	2.20
95.00	15.66	11.11	8.81	1.61	1.90
95.00	15.17	10.82	8.74	1.52	1.96
95.00	15.33	11.06	8.76	1.71	2.05
95.00	15.10	10.94	8.91	1.67	1.88
95.00	15.71	11.23	9.01	1.53	2.07
95.00	14.92	10.68	8.56	1.59	1.97
95.00	15.10	11.23	8.85	1.70	2.15
95.00	15.57	10.97	8.70	1.77	2.07
95.00	15.44	10.93	8.64	1.59	2.13
95.00	15.13	10.82	8.43	1.46	2.01
95.00	15.10	10.58	8.69	1.78	2.18
95.00	15.73	11.09	8.45	1.55	2.17
95.00	15.56	11.27	8.98	1.48	2.01
95.00	15.45	11.15	8.75	1.79	1.99
95.00	15.41	11.05	9.02	1.61	1.97
95.00	15.47	11.02	8.68	1.42	1.82
95.00	15.71	10.97	8.57	1.54	2.02
95.00	15.78	11.37	9.25	1.56	2.02
95.00	15.23	10.77	8.75	1.63	2.15
95.00	15.06	10.58	8.25	1.56	1.97
95.00	15.66	10.93	8.81	1.48	2.22
95.00	15.33	11.00	8.45	1.56	2.04
95.00	15.67	10.86	8.66	1.49	2.01
95.00	15.65	11.13	8.64	1.61	1.95
95.00	15.65	11.41	8.90	1.49	2.04
95.00	15.28	11.01	8.54	1.67	1.84
95.00	15.26	11.45	9.23	1.62	2.22
95.00	15.58	11.04	8.30	1.57	2.01
95.00	15.52	10.93	8.54	1.49	2.12
95.00	15.56	11.08	9.13	1.75	2.18
95.00	15.52	10.67	8.58	1.67	2.13
95.00	15.51	10.85	8.53	1.59	1.86
95.00	15.13	10.88	8.61	1.77	2.06
95.00	15.64	10.78	8.65	1.66	1.87
95.00	15.60	10.78	8.75	1.75	1.95
95.00	15.52	10.75	8.67	1.79	2.25
95.00	15.86	11.31	8.85	1.63	1.85
95.00	15.35	10.52	8.70	1.60	1.83
95.00	15.67	10.98	8.86	1.38	1.80
95.00	15.61	11.27	8.88	1.59	2.12
95.00	15.71	11.26	8.85	1.53	1.91
95.00	15.47	10.69	8.49	1.75	2.15
95.00	15.40	11.03	8.91	1.64	1.94
95.00	14.98	10.96	8.61	1.69	2.25
95.00	15.23	10.82	8.47	1.62	2.06
95.00	15.48	10.81	8.67	1.53	2.17
95.00	15.32	10.73	8.39	1.60	2.30
95.00	15.71	11.56	9.44	1.75	2.16
95.00	15.38	11.28	8.49	1.39	2.02
95.00	14.90	10.52	8.37	1.49	2.10
95.00	15.81	11.44	8.98	1.62	2.23
95.00	15.58	11.26	9.09	1.72	2.14
95.00	15.53	11.03	8.70	1.64	2.04
95.00	15.76	10.67	8.54	1.39	1.85
95.00	15.72	10.93	8.87	1.71	2.11
95.00	15.80	11.26	8.82	1.85	2.10
95.00	15.41	11.00	8.75	1.65	2.05
95.00	15.63	10.89	8.90	1.66	2.17
95.00	15.46	11.13	8.57	1.58	1.90
95.00	15.52	11.07	8.71	1.78	2.05
95.00	15.51	11.57	9.21	1.86	2.10
95.00	15.56	11.06	8.88	1.67	2.08
95.00	15.54	10.92	8.67	1.47	1.77
95.00	15.25	10.76	8.18	1.48	2.02
95.00	15.69	10.96	8.64	1.40	2.01
95.00	15.52	10.47	8.31	1.56	2.11
95.00	15.40	10.98	8.82	1.67	2.13
95.00	15.58	11.09	8.69	1.70	1.90
95.00	15.81	11.36	9.03	1.72	2.07
95.00	15.49	10.48	8.33	1.46	2.00
95.00	15.15	11.17	9.06	1.59	2.00
95.00	15.84	11.24	8.99	1.60	2.05
95.00	15.80	10.91	8.60	1.71	2.32
95.00	15.84	11.31	8.81	1.52	2.16
95.00	15.50	11.15	9.01	1.69	2.15
95.00	15.50	10.68	8.72	1.85	1.94
95.00	15.75	11.23	8.47	1.35	2.10
95.00	15.41	11.12	9.01	1.60	2.23
95.00	15.78	11.35	8.78	1.69	2.37
95.00	15.69	11.33	8.95	1.60	1.84
95.00	15.16	10.80	8.59	1.42	2.14
95.00	15.31	11.09	9.05	1.59	1.99
95.00	15.08	10.62	8.27	1.69	2.06
95.00	15.87	11.09	8.83	1.90	2.24
95.00	15.24	11.14	8.63	1.68	1.97
95.00	15.96	11.09	9.00	1.60	2.37
95.00	15.78	10.69	8.65	1.55	2.04
95.00	15.42	10.64	8.54	1.43	2.01
95.00	15.05	10.80	8.58	1.59	1.92
95.00	15.33	11.10	8.77	1.74	2.22
95.00	15.27	10.52	8.52	1.47	1.95
95.00	15.18	10.93	8.53	1.54	2.13
95.00	15.87	11.10	8.94	1.80	2.11
95.00	15.67	10.87	8.85	1.72	2.40
95.00	15.67	11.07	8.66	1.67	2.17
95.00	15.84	11.04	8.58	1.55	1.95
95.00	15.53	11.56	8.93	1.67	2.24
95.00	15.79	11.71	9.32	1.74	2.09
95.00	15.79	11.19	8.64	1.66	2.14
95.00	15.40	11.01	8.74	1.63	2.07
95.00	15.78	11.16	8.85	1.62	2.14
95.00	15.97	11.23	8.94	1.83	2.02
95.00	15.43	10.98	8.88	1.66	2.19
95.00	15.69	11.07	8.75	1.74	2.17
95.00	15.21	10.98	9.03	1.50	2.07
95.00	15.30	11.15	8.69	1.44	2.00
95.00	15.78	11.20	9.16	1.48	2.24
95.00	15.64	10.98	8.90	1.77	2.09
95.00	14.90	10.56	8.56	1.64	1.89
95.00	15.74	11.09	8.92	1.52	2.28
95.00	15.61	10.91	8.66	1.68	2.03
95.00	15.01	10.43	8.39	1.74	2.12
95.00	15.43	10.92	8.85	1.74	1.99
95.00	15.06	10.68	8.67	1.53	1.97
95.00	15.74	11.26	8.80	1.72	2.13
95.00	15.92	11.05	8.99	1.41	1.87
95.00	15.10	10.87	8.73	1.73	2.04
95.00	15.60	11.18	9.03	1.71	2.24
95.00	15.13	11.01	8.81	1.75	2.08
95.00	15.69	10.93	8.91	1.55	2.25
95.00	15.04	10.72	8.31	1.68	2.01
95.00	15.56	11.10	8.79	1.65	2.17
95.00	15.39	10.92	8.66	1.40	1.79
95.00	15.49	11.11	9.06	1.87	2.11
95.00	15.76	11.28	8.49	1.55	2.09
95.00	15.07	10.80	8.41	1.45	1.79
95.00	15.56	11.29	8.92	1.64	2.15
95.00	14.85	10.73	8.39	1.72	1.82
95.00	14.80	10.71	8.55	1.51	1.91
95.00	15.97	11.60	9.44	1.72	2.37
95.00	15.39	11.24	9.09	1.79	2.08
95.00	15.31	10.81	8.35	1.47	1.94
95.00	14.86	10.62	8.47	1.71	2.02
95.00	15.32	11.13	9.05	1.63	2.00
95.00	15.14	10.95	8.86	1.51	2.05
95.00	16.16	11.62	9.36	1.73	2.18
95.00	15.44	11.15	8.77	1.68	2.01
95.00	15.81	10.93	8.94	1.67	2.12
95.00	15.12	10.81	8.59	1.51	1.94
95.00	15.13	10.87	8.91	1.68	2.03
95.00	15.24	10.92	8.87	1.41	2.10
95.00	15.90	11.54	9.15	1.70	2.29
95.00	15.28	10.85	8.75	1.66	2.22
95.00	15.03	10.78	8.70	1.60	2.03
95.00	15.74	10.88	8.72	1.58	1.92
95.00	15.52	11.25	9.19	1.79	2.19
95.00	15.60	11.44	8.97	1.45	1.76
95.00	15.55	10.89	8.74	1.54	1.81
95.00	15.62	11.45	9.23	1.79	2.06
95.00	15.41	10.42	8.31	1.72	2.02
95.00	15.40	11.38	9.17	1.59	2.23
95.00	15.44	11.06	8.84	1.76	2.11
95.00	15.40	10.98	8.66	1.59	2.25
95.00	15.39	11.04	8.84	1.69	2.05
95.00	15.68	10.81	8.44	1.65	1.84
95.00	15.50	11.28	8.80	1.55	2.11
95.00	15.72	11.28	9.07	1.71	2.11
95.00	15.33	10.89	8.71	1.40	1.93
95.00	15.17	10.85	8.51	1.72	1.87
95.00	15.58	11.12	9.05	1.43	1.98
95.00	15.53	10.91	8.78	1.62	2.18
